"Bank Transfer","Bank Transfer"
"Trustly","Trustly"
"Bitcoin","Bitcoin"
"Bank Transfer description","Bank Transfer offers you the possibility to pay locally from your own bank account. You will get a reference number and the bank account details to be able to make the payment. "
"Trustly description","Trustly (tidligere Instant Bank/GluePay) lader dig betale via nettet med din bankkonto - nemt, hurtigt og sikkert. Du skal blot vælge din bank, følge instrukserne og udfyld de behøvede oplysninger. Bekræft så betalingen som du plejer med din netbank ved at underskrive med en banksikkerhedskode til engangsbrug fra dit gavekort og betalingen er fuldført."
"Bitcoin description","Bitcoin is the simplest way to pay online. Bitcoin uses peer-to-peer technology to operate with no central authority or banks and is secured by military grade cryptography."
"Ukash description","Ukash voucher is a prepaid voucher you can use to pay - there are no extra fees. So, if you want to pay using Ukash voucher you simply visit your <a href=""https://www.ukash.com/en-dk/where-to-get/"" target=""_blank"">nearest store</a>. To pay you simply type in the 19 digit voucher code and the voucher value."
"Paysafecard description","Paysafecard voucher is a prepaid voucher you can use to pay- there are no extra fees. So, if you want to purchase using Paysafecard voucher you simply visit your <a href=""https://www.paysafecard.com/da-dk/kobaf"" target=""_blank"">nearest store</a>. Then you simply type in the 16 digit voucher code and that.s it . the payment is done."
